No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team
22,Talen Horton-Tucker,SG,6-4,234,"November 25, 2000",usUS,5,Iowa State,CHI
44,Patrick Williams,PF,6-7,215,"August 26, 2001",usUS,4,Florida State,CHI
2,Lonzo Ball,PG,6-6,190,"October 27, 1997",usUS,5,UCLA,CHI
5,Jevon Carter,PG,6-1,200,"September 14, 1995",usUS,6,West Virginia,CHI
30,Tre Jones,PG,6-1,185,"January 8, 2000",usUS,4,Duke,CHI
12,Zach Collins,PF,6-11,250,"November 19, 1997",usUS,6,Gonzaga,CHI
13,Kevin Huerter,SG,6-7,190,"August 27, 1998",usUS,6,Maryland,CHI
32,E.J. Liddell(TW),PF,6-7,240,"December 18, 2000",usUS,1,Ohio State,CHI
20,Emanuel Miller(TW),PF,6-7,215,"June 19, 2000",caCA,R,"Texas A&M,TCU",CHI
17,Jahmir Young(TW),PG,6-2,185,"October 7, 2000",usUS,R,"UNC Charlotte,Maryland",CHI
31,Jarrett Allen,C,6-11,243,"April 21, 1998",usUS,7,Texas,CLE
45,Donovan Mitchell,SG,6-3,215,"September 7, 1996",usUS,7,Louisville,CLE
10,Darius Garland,PG,6-1,192,"January 26, 2000",usUS,5,Vanderbilt,CLE
2,Ty Jerome,SG,6-5,195,"July 8, 1997",usUS,5,Virginia,CLE
4,Evan Mobley,PF,6-11,215,"June 18, 2001",usUS,3,USC,CLE
5,Sam Merrill,SG,6-4,205,"May 15, 1996",usUS,4,Utah State University,CLE
32,Dean Wade,PF,6-9,228,"November 20, 1996",usUS,5,Kansas State,CLE
24,Jaylon Tyson,SG,6-6,215,"December 2, 2002",usUS,R,"Texas,Texas Tech,California",CLE
9,Craig Porter Jr.,PG,6-2,186,"February 26, 2000",usUS,1,"Vincennes University,Wichita State",CLE
35,Isaac Okoro,SG,6-5,225,"January 26, 2001",usUS,4,Auburn,CLE
1,Max Strus,SF,6-5,215,"March 28, 1996",usUS,5,"Lewis (IL),DePaul",CLE
13,Tristan Thompson,C,6-9,254,"March 13, 1991",caCA,13,Texas,CLE
12,De'Andre Hunter,SF,6-8,225,"December 2, 1997",usUS,5,Virginia,CLE
33,Luke Travers(TW),SG,6-8,199,"September 3, 2001",auAU,R,,CLE
21,Emoni Bates(TW),SF,6-10,170,"January 28, 2004",usUS,1,"Memphis,Eastern Michigan",CLE
30,Nae'Qwan Tomlin(TW),PF,6-10,205,"December 10, 2000",usUS,R,"Monroe Community College,Chipola College,Kansas State,Memphis",CLE
8,Javonte Green,SG,6-4,205,"July 23, 1993",usUS,5,Radford,CLE
26,Spencer Dinwiddie,PG,6-5,215,"April 6, 1993",usUS,10,Colorado,DAL
31,Klay Thompson,SF,6-5,215,"February 8, 1990",usUS,11,Washington State,DAL
8,Olivier-Maxence Prosper,PF,6-8,230,"July 3, 2002",caCA,1,"Clemson,Marquette",DAL
21,Daniel Gafford,C,6-10,234,"October 1, 1998",usUS,5,Arkansas,DAL
13,Naji Marshall,SF,6-7,220,"January 24, 1998",usUS,4,Xavier,DAL
11,Kyrie Irving,SG,6-2,195,"March 23, 1992",auAU,13,Duke,DAL
25,P.J. Washington,PF,6-7,230,"August 23, 1998",usUS,5,Kentucky,DAL
1,Jaden Hardy,SG,6-4,198,"July 5, 2002",usUS,2,,DAL
7,Dwight Powell,C,6-10,240,"July 20, 1991",caCA,10,Stanford,DAL
20,Kessler Edwards(TW),SF,6-8,215,"August 9, 2000",usUS,3,Pepperdine,DAL
2,Dereck Lively II,C,7-1,230,"February 12, 2004",usUS,1,Duke,DAL
10,Brandon Williams(TW),PG,6-1,190,"November 22, 1999",usUS,2,Arizona,DAL
00,Max Christie,SG,6-6,190,"February 10, 2003",usUS,2,Michigan State,DAL
0,Dante Exum,PG,6-5,214,"July 13, 1995",auAU,7,,DAL
3,Anthony Davis,PF,6-10,253,"March 11, 1993",usUS,12,Kentucky,DAL
23,Kai Jones(TW),C,6-11,218,"January 19, 2001",bsBS,2,Texas,DAL
16,Caleb Martin,SF,6-5,205,"September 28, 1995",usUS,5,"NC State,Nevada",DAL
0,Christian Braun,SG,6-6,218,"April 17, 2001",usUS,2,Kansas,DEN
3,Julian Strawther,SG,6-7,205,"April 18, 2002",usUS,1,Gonzaga,DEN
1,Michael Porter Jr.,SF,6-10,218,"June 29, 1998",usUS,5,Missouri,DEN
15,Nikola JokiÄ,C,6-11,284,"February 19, 1995",rsRS,9,,DEN
27,Jamal Murray,PG,6-4,215,"February 23, 1997",caCA,7,Kentucky,DEN
4,Russell Westbrook,PG,6-4,200,"November 12, 1988",usUS,16,UCLA,DEN
8,Peyton Watson,SF,6-8,200,"September 11, 2002",usUS,2,UCLA,DEN
6,DeAndre Jordan,C,6-11,265,"July 21, 1988",usUS,16,Texas A&M,DEN
22,Zeke Nnaji,PF,6-9,240,"January 9, 2001",usUS,4,Arizona,DEN
5,Hunter Tyson,PF,6-8,215,"June 13, 2000",usUS,1,Clemson,DEN
32,Aaron Gordon,PF,6-8,235,"September 16, 1995",usUS,10,Arizona,DEN
24,Jalen Pickett,SG,6-4,209,"October 22, 1999",usUS,1,"Siena College,Penn State",DEN
23,Trey Alexander(TW),SG,6-4,185,"May 2, 2003",usUS,R,Creighton,DEN
9,Dario Å ariÄ,C,6-10,225,"April 8, 1994",hrHR,7,,DEN
13,PJ Hall(TW),C,6-8,245,"February 21, 2002",usUS,R,Clemson,DEN
21,Spencer Jones(TW),SF,6-7,225,"June 14, 2001",usUS,R,Stanford,DEN
31,Vlatko ÄanÄar,PF,6-8,236,"April 10, 1997",siSI,4,,DEN
,DaRon Holmes,PF,6-10,225,"August 15, 2002",usUS,R,Dayton,DEN
5,Malik Beasley,SG,6-4,187,"November 26, 1996",usUS,8,Florida State,DET
00,Ron Holland,SF,6-8,206,"July 7, 2005",usUS,R,,DET
0,Jalen Duren,C,6-10,250,"November 18, 2003",usUS,2,Memphis,DET
12,Tobias Harris,PF,6-8,226,"July 15, 1992",usUS,13,Tennessee,DET
8,Tim Hardaway Jr.,SG,6-5,205,"March 16, 1992",usUS,11,Michigan,DET
2,Cade Cunningham,PG,6-6,220,"September 25, 2001",usUS,3,Oklahoma State,DET
28,Isaiah Stewart,C,6-8,250,"May 22, 2001",usUS,4,Washington,DET
19,Simone Fontecchio,SF,6-8,209,"December 9, 1995",itIT,2,,DET
25,Marcus Sasser,PG,6-2,195,"September 21, 2000",usUS,1,Houston,DET
9,Ausar Thompson,SF,6-7,215,"January 30, 2003",usUS,1,,DET
7,Paul Reed,C,6-9,210,"June 14, 1999",usUS,4,DePaul,DET
23,Jaden Ivey,SG,6-4,195,"February 13, 2002",usUS,2,Purdue,DET
17,Dennis SchrÃ¶der,PG,6-1,172,"September 15, 1993",deDE,11,,DET
43,Lindy Waters III,SG,6-6,215,"July 28, 1997",usUS,3,Oklahoma State,DET
34,Bobi Klintman,SF,6-9,225,"March 6, 2003",seSE,R,Wake Forest,DET
24,Daniss Jenkins(TW),PG,6-3,165,"August 17, 2001",usUS,R,"University of the Pacific,Iona College,St. John's",DET
,Tolu Smith(TW),PF,6-10,254,"July 26, 2000",usUS,R,"Western Kentucky,Mississippi State",DET
,Ron Harper Jr.(TW),SF,6-6,245,"April 12, 2000",usUS,2,Rutgers University,DET
7,Buddy Hield,SG,6-4,220,"December 17, 1992",bsBS,8,Oklahoma,GSW
5,Kevon Looney,C,6-9,222,"February 6, 1996",usUS,9,UCLA,GSW
4,Moses Moody,SG,6-5,205,"May 31, 2002",usUS,3,Arkansas,GSW
30,Stephen Curry,PG,6-2,185,"March 14, 1988",usUS,15,Davidson,GSW
32,Trayce Jackson-Davis,C,6-9,245,"February 22, 2000",usUS,1,Indiana,GSW
0,Gary Payton II,SG,6-2,190,"December 1, 1992",usUS,8,Oregon State,GSW
2,Brandin Podziemski,SG,6-5,205,"February 25, 2003",usUS,1,"Illinois,Santa Clara",GSW
23,Draymond Green,PF,6-6,230,"March 4, 1990",usUS,12,Michigan State,GSW
15,Gui Santos,PF,6-8,209,"June 22, 2002",brBR,1,,GSW
00,Jonathan Kuminga,PF,6-8,210,"October 6, 2002",cdCD,3,,GSW
61,Pat Spencer,PG,6-3,205,"July 4, 1996",usUS,1,"Loyola (MD),Northwestern",GSW
21,Quinten Post,PF,7-0,238,"March 21, 2000",nlNL,R,"Mississippi State,Boston College",GSW
10,Jimmy Butler,SF,6-7,230,"September 14, 1989",usUS,13,"Tyler Junior College,Marquette",GSW
31,Kevin Knox,SF,6-7,215,"August 11, 1999",usUS,6,Kentucky,GSW
44,Jackson Rowe(TW),PF,6-7,210,"January 4, 1997",caCA,R,Cal State Fullerton,GSW
,Taran Armstrong(TW),G,6-6,,"January 15, 2002",auAU,R,,GSW
,Braxton Key(TW),SF,6-8,230,"February 14, 1997",usUS,3,"Alabama,Virginia",GSW
4,Jalen Green,SG,6-4,178,"February 9, 2002",usUS,3,,HOU
28,Alperen ÅengÃ¼n,C,6-11,235,"July 25, 2002",trTR,3,,HOU
1,Amen Thompson,SF,6-7,209,"January 30, 2003",usUS,1,,HOU
9,Dillon Brooks,SF,6-6,225,"January 22, 1996",caCA,7,Oregon,HOU
0,Aaron Holiday,PG,6-0,185,"September 30, 1996",usUS,6,UCLA,HOU
5,Fred VanVleet,PG,6-0,197,"February 25, 1994",usUS,8,Wichita State,HOU
15,Reed Sheppard,PG,6-2,185,"June 24, 2004",usUS,R,Kentucky,HOU
12,Steven Adams,C,6-11,265,"July 20, 1993",nzNZ,10,Pitt,HOU
17,Tari Eason,PF,6-8,216,"May 10, 2001",usUS,2,"Cincinnati,LSU",HOU
10,Jabari Smith Jr.,PF,6-11,220,"May 13, 2003",usUS,2,Auburn,HOU
8,Jae'Sean Tate,SF,6-4,230,"October 28, 1995",usUS,4,Ohio State,HOU
7,Cam Whitmore,SF,6-7,232,"July 8, 2004",usUS,1,Villanova,HOU
2,Jock Landale,C,6-11,256,"October 25, 1995",auAU,3,Saint Mary's,HOU
32,Jeff Green,PF,6-8,235,"August 28, 1986",usUS,16,Georgetown,HOU
19,Jeenathan Williams,SG,6-5,205,"February 12, 1999",usUS,2,Buffalo,HOU
58,Jack McVeigh(TW),PF,6-8,215,"June 27, 1996",auAU,R,Nebraska,HOU
3,N'Faly Dante(TW),C,6-11,230,"October 19, 2001",mlML,R,Oregon,HOU
,David Roddy(TW),PF,6-4,255,"March 27, 2001",usUS,2,Colorado State,HOU
43,Pascal Siakam,PF,6-8,230,"April 2, 1994",cmCM,8,New Mexico State,IND
0,Tyrese Haliburton,PG,6-5,185,"February 29, 2000",usUS,4,Iowa State,IND
1,Obi Toppin,PF,6-9,220,"March 4, 1998",usUS,4,Dayton,IND
9,T.J. McConnell,PG,6-1,190,"March 25, 1992",usUS,9,"Duquesne,Arizona",IND
5,Jarace Walker,PF,6-8,240,"September 4, 2003",usUS,1,Houston,IND
00,Bennedict Mathurin,SF,6-6,210,"June 19, 2002",caCA,2,Arizona,IND
33,Myles Turner,C,6-11,250,"March 24, 1996",usUS,9,Texas,IND
26,Ben Sheppard,SG,6-6,190,"July 16, 2001",usUS,1,Belmont,IND
2,Andrew Nembhard,SG,6-5,193,"January 16, 2000",caCA,2,"Florida,Gonzaga",IND
12,Johnny Furphy,SG,6-8,200,"December 8, 2004",auAU,R,Kansas,IND
3,Thomas Bryant,C,6-10,248,"July 31, 1997",usUS,7,Indiana,IND
23,Aaron Nesmith,SF,6-5,215,"October 16, 1999",usUS,4,Vanderbilt,IND
29,Quenton Jackson(TW),PG,6-5,175,"September 15, 1998",usUS,2,Texas A&M,IND
8,Enrique Freeman(TW),PF,6-7,206,"July 29, 2000",usUS,R,University of Akron,IND
16,James Johnson,PF,6-7,240,"February 20, 1987",usUS,15,Wake Forest,IND
10,RayJ Dennis(TW),PG,6-2,180,"March 30, 2001",usUS,R,"Boise State,Toledo,Baylor",IND
22,Isaiah Jackson,C,6-10,206,"January 10, 2002",usUS,3,Kentucky,IND
13,Tony Bradley,C,6-10,248,"January 8, 1998",usUS,6,UNC,IND
40,Ivica Zubac,C,7-0,240,"March 18, 1997",baBA,8,,LAC
7,Amir Coffey,SG,6-7,210,"June 17, 1997",usUS,5,Minnesota,LAC
33,Nicolas Batum,PF,6-8,230,"December 14, 1988",frFR,16,,LAC
1,James Harden,PG,6-5,220,"August 26, 1989",usUS,15,Arizona State,LAC
55,Derrick Jones Jr.,SF,6-5,210,"February 15, 1997",usUS,8,UNLV,LAC
8,Kris Dunn,PG,6-3,205,"March 18, 1994",usUS,8,Providence,LAC
24,Norman Powell,SG,6-3,215,"May 25, 1993",usUS,9,UCLA,LAC
11,Jordan Miller,SF,6-7,195,"January 23, 2000",usUS,1,"George Mason,Miami (FL)",LAC
21,Kobe Brown,PF,6-7,250,"January 1, 2000",usUS,1,Missouri,LAC
2,Kawhi Leonard,SF,6-7,225,"June 29, 1991",usUS,12,San Diego State,LAC
10,Bogdan BogdanoviÄ,SG,6-5,220,"August 18, 1992",rsRS,7,,LAC
15,Drew Eubanks,C,6-9,245,"February 1, 1997",usUS,6,Oregon State,LAC
12,Cam Christie,SG,6-5,190,"July 24, 2005",usUS,R,Minnesota,LAC
25,Ben Simmons,PG,6-10,240,"July 20, 1996",auAU,6,LSU,LAC
88,Patty Mills,PG,6-2,180,"August 11, 1988",auAU,15,Saint Mary's,LAC
9,Trentyn Flowers(TW),SF,6-7,185,"March 8, 2005",usUS,R,,LAC
,Patrick Baldwin Jr.(TW),SF,6-9,220,"November 18, 2002",usUS,2,UW-Milwaukee,LAC
,Seth Lundy(TW),SF,6-6,220,"April 2, 2000",usUS,1,Penn State,LAC
4,Dalton Knecht,SF,6-6,215,"April 19, 2001",usUS,R,"Northeastern Junior College,University of Northern Colorado,Tennessee",LAL
23,LeBron James,SF,6-9,250,"December 30, 1984",usUS,21,,LAL
15,Austin Reaves,SG,6-5,206,"May 29, 1998",usUS,3,"Wichita State,Oklahoma",LAL
7,Gabe Vincent,PG,6-3,195,"June 14, 1996",usUS,5,UC Santa Barbara,LAL
28,Rui Hachimura,PF,6-8,230,"February 8, 1998",jpJP,5,Gonzaga,LAL
11,Jaxson Hayes,C,7-0,220,"May 23, 2000",usUS,5,Texas,LAL
5,Cam Reddish,SF,6-8,218,"September 1, 1999",usUS,5,Duke,LAL
10,Christian Koloko(TW),C,7-1,230,"June 20, 2000",cmCM,1,Arizona,LAL
17,Dorian Finney-Smith,PF,6-7,220,"May 4, 1993",usUS,8,Florida,LAL
20,Shake Milton,SG,6-5,205,"September 26, 1996",usUS,6,SMU,LAL
2,Jarred Vanderbilt,PF,6-8,214,"April 3, 1999",usUS,6,Kentucky,LAL
9,Bronny James,SG,6-2,210,"October 6, 2004",usUS,R,USC,LAL
55,Trey Jemison(TW),C,6-11,260,"November 28, 1999",usUS,1,"Clemson,UAB",LAL
77,Luka DonÄiÄ,PG,6-6,230,"February 28, 1999",siSI,6,,LAL
30,Jordan Goodwin(TW),PG,6-3,200,"October 23, 1998",usUS,3,Saint Louis,LAL
27,Alex Len,C,7-0,250,"June 16, 1993",uaUA,11,Maryland,LAL
88,Markieff Morris,PF,6-9,245,"September 2, 1989",usUS,13,Kansas,LAL
,Maxi Kleber,PF,6-10,240,"January 29, 1992",deDE,7,,LAL
0,Jaylen Wells,SG,6-7,206,"August 26, 2003",usUS,R,"Sonoma State University,Washington State",MEM
1,Scotty Pippen Jr.,PG,6-1,185,"November 10, 2000",usUS,2,Vanderbilt,MEM
13,Jaren Jackson Jr.,C,6-10,242,"September 15, 1999",usUS,6,Michigan State,MEM
15,Brandon Clarke,PF,6-8,215,"September 19, 1996",caCA,5,"San Jose State,Gonzaga",MEM
7,Santi Aldama,PF,6-11,224,"January 10, 2001",esES,3,Loyola (MD),MEM
22,Desmond Bane,SG,6-5,215,"June 25, 1998",usUS,4,TCU,MEM
10,Luke Kennard,SG,6-5,206,"June 24, 1996",usUS,7,Duke,MEM
14,Zach Edey,C,7-4,305,"May 14, 2002",caCA,R,Purdue,MEM
30,Jay Huff,C,7-1,240,"August 25, 1998",usUS,3,Virginia,MEM
12,Ja Morant,PG,6-2,174,"August 10, 1999",usUS,5,Murray State,MEM
46,John Konchar,SG,6-5,210,"March 22, 1996",usUS,5,Purdue-Fort Wayne,MEM
45,GG Jackson II,PF,6-9,215,"December 17, 2004",usUS,1,South Carolina,MEM
17,Yuki Kawamura(TW),PG,5-8,159,"May 2, 2001",jpJP,R,,MEM
5,Vince Williams Jr.,SG,6-4,205,"August 30, 2000",usUS,2,VCU,MEM
24,Cam Spencer(TW),SG,6-3,205,"April 6, 2000",usUS,R,"Loyola (MD),Rutgers University,UConn",MEM
8,Lamar Stevens,PF,6-6,230,"July 9, 1997",usUS,4,Penn State,MEM
2,Zyon Pullin(TW),SG,6-4,206,"March 3, 2001",usUS,R,"University of California, Riverside,Florida",MEM
35,Marvin Bagley III,PF,6-10,235,"March 14, 1999",usUS,6,Duke,MEM
13,Bam Adebayo,C,6-9,255,"July 18, 1997",usUS,7,Kentucky,MIA
14,Tyler Herro,SG,6-5,195,"January 20, 2000",usUS,5,Kentucky,MIA
55,Duncan Robinson,SF,6-7,215,"April 22, 1994",usUS,6,"Williams,Michigan",MIA
24,Haywood Highsmith,SF,6-7,220,"December 9, 1996",usUS,4,Wheeling University,MIA
2,Terry Rozier,PG,6-1,190,"March 17, 1994",usUS,9,Louisville,MIA
11,Jaime Jaquez Jr.,SF,6-6,225,"February 18, 2001",usUS,1,UCLA,MIA
5,Nikola JoviÄ,PF,6-10,209,"June 9, 2003",gbGB,2,,MIA
7,Kel'el Ware,C,7-0,230,"April 20, 2004",usUS,R,"Oregon,Indiana",MIA
9,Pelle Larsson,SG,6-5,215,"February 23, 2001",seSE,R,"Utah,Arizona",MIA
18,Alec Burks,SG,6-6,214,"July 20, 1991",usUS,13,Colorado,MIA
42,Kevin Love,PF,6-8,251,"September 7, 1988",usUS,16,UCLA,MIA
12,Dru Smith(TW),SG,6-3,203,"December 30, 1997",usUS,2,"University of Evansville,Missouri",MIA
45,Davion Mitchell,PG,6-2,205,"September 5, 1998",usUS,3,"Auburn,Baylor",MIA
20,Kyle Anderson,SF,6-9,230,"September 20, 1993",usUS,10,UCLA,MIA
16,Keshad Johnson,SF,6-6,225,"June 23, 2001",usUS,R,"San Diego State,Arizona",MIA
8,Josh Christopher(TW),SG,6-5,215,"December 8, 2001",usUS,2,Arizona State,MIA
22,Andrew Wiggins,SF,6-7,197,"February 23, 1995",caCA,10,Kansas,MIA
,Isaiah Stevens(TW),PG,6-0,185,"November 1, 2000",usUS,R,Colorado State,MIA
11,Brook Lopez,C,7-1,282,"April 1, 1988",usUS,16,Stanford,MIL
12,Taurean Prince,SF,6-6,218,"March 22, 1994",usUS,8,Baylor,MIL
5,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",usUS,6,Duke,MIL
20,A.J. Green,SG,6-4,200,"September 27, 1999",usUS,2,University of Northern Iowa,MIL
44,Andre Jackson Jr.,SG,6-6,210,"November 13, 2001",usUS,1,UConn,MIL
0,Damian Lillard,PG,6-2,195,"July 15, 1990",usUS,12,Weber State,MIL
34,Giannis Antetokounmpo,PF,6-11,242,"December 6, 1994",grGR,11,,MIL
9,Bobby Portis,PF,6-10,250,"February 10, 1995",usUS,9,Arkansas,MIL
13,Ryan Rollins,PG,6-4,180,"July 3, 2002",usUS,2,Toledo,MIL
24,Pat Connaughton,SG,6-5,209,"January 6, 1993",usUS,9,Notre Dame,MIL
17,Stanley Umude(TW),SG,6-6,210,"April 12, 1999",usUS,2,"South Dakota,Arkansas",MIL
21,Tyler Smith,PF,6-11,224,"November 2, 2004",usUS,R,,MIL
18,Kyle Kuzma,PF,6-9,221,"July 24, 1995",usUS,7,Utah,MIL
7,Chris Livingston,SF,6-6,220,"October 15, 2003",usUS,1,Kentucky,MIL
3,Kevin Porter Jr.,SG,6-4,203,"May 4, 2000",usUS,4,USC,MIL
00,Jericho Sims,C,6-10,245,"October 20, 1998",usUS,3,Texas,MIL
15,Jamaree Bouyea(TW),PG,6-2,180,"June 27, 1999",usUS,2,San Francisco,MIL
,Pete Nance(TW),PF,6-11,230,"February 19, 2000",usUS,1,"Northwestern,UNC",MIL
3,Jaden McDaniels,PF,6-9,185,"September 29, 2000",usUS,4,Washington,MIN
9,Nickeil Alexander-Walker,SG,6-5,205,"September 2, 1998",caCA,5,Virginia Tech,MIN
11,Naz Reid,C,6-9,264,"August 26, 1999",usUS,5,LSU,MIN
5,Anthony Edwards,SG,6-4,225,"August 5, 2001",usUS,4,Georgia,MIN
