No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,URL,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
30,Sam Hauser,PF,6-8,215.0,"December 8, 1997",usUS,3,"Marquette,Virginia",BOS,https://www.basketball-reference.com/players/h/hausesa01.html,2024-25,27,BOS,NBA,54.0,12.0,20.5,2.6,6.0,0.438,2.0,5.1,0.396,0.6,0.9,0.681,0.607,0.1,0.1,1.0,0.6,2.4,3.0,0.9,0.6,0.2,0.4,1.2,7.3
7,Jaylen Brown,0.0,6-6,223.0,"October 24, 1996",usUS,8,California,BOS,https://www.basketball-reference.com/players/b/brownja01.html,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Al Horford,C,6-9,240.0,"June 3, 1986",doDO,17,Florida,BOS,https://www.basketball-reference.com/players/h/horfoal01.html,2024-25,38,BOS,NBA,50.0,34.0,27.2,3.0,7.2,0.418,1.8,4.9,0.358,1.3,2.3,0.548,0.54,0.5,0.6,0.893,1.2,4.6,5.8,1.9,0.6,0.9,0.7,1.4,8.3
88,Neemias Queta,C,7-0,245.0,"July 13, 1999",ptPT,3,Utah State University,BOS,https://www.basketball-reference.com/players/q/quetane01.html,2024-25,25,BOS,NBA,49.0,6.0,14.3,2.2,3.4,0.637,0.0,0.1,0.0,2.2,3.4,0.648,0.637,0.7,1.0,0.729,1.5,2.4,3.8,0.7,0.3,0.7,0.6,1.8,5.1
4,Jrue Holiday,PG,6-4,205.0,"June 12, 1990",usUS,15,UCLA,BOS,https://www.basketball-reference.com/players/h/holidjr01.html,2024-25,34,BOS,NBA,48.0,48.0,30.2,4.0,9.0,0.439,1.7,5.0,0.342,2.3,4.0,0.56,0.533,1.1,1.3,0.9,1.1,3.1,4.3,3.6,1.0,0.4,1.4,1.6,10.8
27,Jordan Walsh,PF,6-7,205.0,"March 3, 2004",usUS,1,Arkansas,BOS,https://www.basketball-reference.com/players/w/walshjo01.html,2024-25,20,BOS,NBA,42.0,1.0,8.1,0.6,1.5,0.375,0.3,1.0,0.302,0.3,0.5,0.524,0.477,0.2,0.3,0.583,0.5,0.8,1.3,0.4,0.2,0.2,0.3,0.6,1.6
8,Kristaps Porzingis,C,7-2,240.0,"August 2, 1995",lvLV,8,,BOS,https://www.basketball-reference.com/players/p/porzikr01.html,2024-25,29,BOS,NBA,32.0,32.0,28.9,6.4,13.6,0.474,2.4,6.0,0.403,4.0,7.6,0.529,0.562,3.7,4.5,0.813,1.6,5.2,6.8,1.9,0.8,1.6,1.2,2.8,18.9
26,Xavier Tillman Sr.,0.0,6-8,245.0,"January 12, 1999",usUS,4,Michigan State,BOS,https://www.basketball-reference.com/players/s/sr.xaxa01.html,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Drew Peterson(TW),0.0,6-9,205.0,"November 9, 1999",usUS,1,"Rice University,USC",BOS,https://www.basketball-reference.com/players/p/peterdr01.html,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Baylor Scheierman,0.0,6-6,205.0,"September 26, 2000",usUS,R,"South Dakota State,Creighton",BOS,https://www.basketball-reference.com/players/s/scheiba01.html,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,JD Davison(TW),0.0,6-1,195.0,"October 3, 2002",usUS,2,Alabama,BOS,https://www.basketball-reference.com/players/d/davisjd01.html,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Torrey Craig,SF,6-7,221.0,"December 19, 1990",usUS,7,USC Upstate,BOS,https://www.basketball-reference.com/players/c/craigto01.html,2024-25,34,BOS,NBA,6.0,1.0,10.3,1.3,2.7,0.5,0.7,1.7,0.4,0.7,1.0,0.667,0.625,0.5,0.7,0.75,1.3,0.7,2.0,0.5,0.0,0.7,0.2,0.8,3.8
44,Miles Norris(TW),0.0,6-10,220.0,"April 15, 2000",usUS,R,"Oregon,City College of San Francisco,UC Santa Barbara",BOS,https://www.basketball-reference.com/players/n/norrimi01.html,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Jalen Wilson,SF,6-8,225.0,"November 4, 2000",usUS,1,Kansas,BRK,https://www.basketball-reference.com/players/w/wilsoja01.html,1969-70,22,NOB,ABA,4.0,14.8,2.0,5.3,0.381,0.3,0.5,0.5,1.8,4.8,0.368,0.405,1.5,2.0,0.75,0.5,3.0,3.5,0.5,1.0,1.5,5.8,,0.0,0.0
45,Keon Johnson,PF,6-5,186.0,"March 10, 2002",usUS,3,Tennessee,BRK,https://www.basketball-reference.com/players/j/johnske01.html,1985-86,23,POR,NBA,64.0,0.0,12.7,1.8,3.3,0.528,0.0,0.0,1.8,3.3,0.528,0.528,0.6,1.3,0.435,1.4,2.4,3.8,0.3,0.2,0.3,0.9,2.3,4.1,
33,Nic Claxton,C,6-11,215.0,"April 17, 1999",usUS,5,Georgia,BRK,https://www.basketball-reference.com/players/c/claxtni01.html,2024-25,25,BRK,NBA,55.0,47.0,27.0,4.4,8.1,0.544,0.0,0.3,0.067,4.4,7.9,0.56,0.545,1.2,2.3,0.532,2.2,5.2,7.4,2.2,0.9,1.5,1.2,2.1,10.1
"1, 8",Ziaire Williams,SF,6-9,215.0,"September 12, 2001",usUS,3,Stanford,BRK,https://www.basketball-reference.com/players/w/willizi02.html,2024-25,23,BRK,NBA,49.0,31.0,24.1,3.3,8.2,0.406,1.5,4.5,0.332,1.8,3.7,0.497,0.498,1.7,2.1,0.825,1.1,3.6,4.7,1.4,1.0,0.4,1.0,2.4,9.9
2,Cameron Johnson,0.0,6-8,210.0,"March 3, 1996",usUS,5,"Pitt,UNC",BRK,https://www.basketball-reference.com/players/j/johnsca01.html,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Tyrese Martin,0.0,6-6,215.0,"March 7, 1999",usUS,1,"Rhode Island,UConn",BRK,https://www.basketball-reference.com/players/m/martity01.html,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Day'Ron Sharpe,C,6-11,265.0,"November 6, 2001",usUS,3,UNC,BRK,https://www.basketball-reference.com/players/s/sharpda01.html,2024-25,23,BRK,NBA,41.0,1.0,17.7,3.3,6.3,0.521,0.2,0.9,0.237,3.0,5.3,0.571,0.539,1.3,1.7,0.779,2.9,3.4,6.4,1.7,0.9,0.9,1.3,2.4,8.0
21,Noah Clowney,0.0,6-10,210.0,"July 14, 2004",usUS,1,Alabama,BRK,https://www.basketball-reference.com/players/c/clownno01.html,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Trendon Watford,0.0,6-9,240.0,"November 9, 2000",usUS,3,LSU,BRK,https://www.basketball-reference.com/players/w/watfotr01.html,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Reece Beekman(TW),0.0,6-1,190.0,"October 8, 2001",usUS,R,Virginia,BRK,https://www.basketball-reference.com/players/b/beekmre01.html,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Cam Thomas,SG,6-4,210.0,"October 13, 2001",jpJP,3,LSU,BRK,https://www.basketball-reference.com/players/t/thomaca01.html,1997-98,28,CLE,NBA,29.0,0.0,9.4,0.9,2.4,0.386,0.5,1.3,0.395,0.4,1.1,0.375,0.493,0.3,0.4,0.615,0.2,1.1,1.3,0.3,0.6,0.2,0.4,0.9,2.7
12,Tosan Evbuomwan(TW),0.0,6-8,219.0,"February 16, 2001",ukUK,1,Princeton,BRK,https://www.basketball-reference.com/players/e/evbuoto01.html,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D'Angelo Russell,0.0,6-3,193.0,"February 23, 1996",usUS,9,Ohio State,BRK,https://www.basketball-reference.com/players/r/russed'01.html,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Dariq Whitehead,0.0,6-7,220.0,"August 1, 2004",usUS,1,Duke,BRK,https://www.basketball-reference.com/players/w/whiteda01.html,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Maxwell Lewis,0.0,6-7,195.0,"July 27, 2002",usUS,1,Pepperdine,BRK,https://www.basketball-reference.com/players/l/lewisma01.html,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,De'Anthony Melton,SG,6-2,200.0,"May 28, 1998",usUS,6,USC,BRK,https://www.basketball-reference.com/players/m/meltode01.html,2024-25,26,GSW,NBA,6.0,2.0,20.2,3.7,9.0,0.407,2.2,5.8,0.371,1.5,3.2,0.474,0.528,0.8,1.3,0.625,1.0,2.3,3.3,2.8,1.2,0.3,1.7,3.0,10.3
,Tyson Etienne(TW),0.0,6-2,203.0,"September 17, 1999",usUS,R,Wichita State,BRK,https://www.basketball-reference.com/players/e/etienty01.html,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Josh Green,PF,6-5,200.0,"November 16, 2000",auAU,4,Arizona,CHO,https://www.basketball-reference.com/players/g/greenjo01.html,1972-73,39,KCO,NBA,66.0,,18.9,2.9,4.8,0.599,1.3,2.0,0.679,5.5,0.9,2.8,7.1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Moussa DiabatÃ©,0.0,6-11,210.0,"January 21, 2002",frFR,2,Michigan,CHO,https://www.basketball-reference.com/players/d/diabamo01.html,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Seth Curry,SG,6-1,185.0,"August 23, 1990",usUS,10,"Liberty,Duke",CHO,https://www.basketball-reference.com/players/c/curryse01.html,2024-25,34,CHO,NBA,52.0,9.0,14.6,2.3,4.8,0.472,1.2,2.7,0.457,1.1,2.2,0.491,0.597,0.4,0.5,0.8,0.4,1.2,1.7,0.7,0.4,0.1,0.4,0.9,6.2
0,Miles Bridges,SF,6-7,225.0,"March 21, 1998",usUS,5,Michigan State,CHO,https://www.basketball-reference.com/players/b/bridgmi01.html,2024-25,28,NYK,NBA,63.0,63.0,37.9,7.1,14.6,0.491,2.1,6.1,0.349,5.0,8.5,0.593,0.564,0.9,1.1,0.75,0.9,2.3,3.2,3.4,1.0,0.6,1.5,1.4,17.3
31,Tidjane SalaÃ¼n,0.0,6-9,207.0,"August 10, 2005",frFR,R,,CHO,https://www.basketball-reference.com/players/s/salaãti01.html,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Nick Smith Jr.,0.0,6-2,185.0,"April 18, 2004",usUS,1,Arkansas,CHO,https://www.basketball-reference.com/players/j/jr.nini01.html,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,LaMelo Ball,0.0,6-7,180.0,"August 22, 2001",usUS,4,,CHO,https://www.basketball-reference.com/players/b/balllla01.html,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Mark Williams,PG,7-0,241.0,"December 16, 2001",usUS,2,Duke,CHO,https://www.basketball-reference.com/players/w/willima01.html,2015-16,33,CLE,NBA,41.0,14.0,18.2,3.2,7.4,0.437,0.9,2.5,0.353,2.3,4.9,0.48,0.497,0.9,1.0,0.905,0.1,1.6,1.8,2.4,0.3,0.1,1.4,1.5,8.2
3,DaQuan Jeffries,SG,6-5,230.0,"August 30, 1997",usUS,5,"Oral Roberts,Tulsa",CHO,https://www.basketball-reference.com/players/j/jeffrda01.html,2024-25,27,CHO,NBA,28.0,4.0,19.2,1.8,4.7,0.379,0.7,2.6,0.274,1.1,2.1,0.508,0.455,0.4,0.5,0.8,0.9,1.9,2.8,1.1,0.6,0.4,0.6,1.9,4.7
24,Brandon Miller,C,6-9,201.0,"November 22, 2002",usUS,1,Alabama,CHO,https://www.basketball-reference.com/players/m/millebr01.html,2011-12,35,MIN,NBA,15.0,1.0,9.7,0.6,1.8,0.333,0.5,1.0,0.467,0.1,0.8,0.167,0.463,0.7,0.8,0.833,0.3,1.0,1.3,1.6,0.3,0.1,0.8,0.7,2.3
67,Taj Gibson,C,6-9,232.0,"June 24, 1985",usUS,15,USC,CHO,https://www.basketball-reference.com/players/g/gibsota01.html,2024-25,39,CHO,NBA,27.0,11.0,11.3,1.3,2.6,0.486,0.0,0.1,0.5,1.2,2.5,0.485,0.493,0.4,0.6,0.688,1.5,2.0,3.6,0.6,0.3,0.4,0.7,1.6,3.0
25,KJ Simpson(TW),0.0,6-0,189.0,"August 8, 2002",usUS,R,Colorado,CHO,https://www.basketball-reference.com/players/s/simpskj01.html,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Grant Williams,PF,6-6,236.0,"November 30, 1998",usUS,5,Tennessee,CHO,https://www.basketball-reference.com/players/w/willigr01.html,2024-25,26,CHO,NBA,16.0,7.0,29.9,3.4,7.7,0.439,1.7,4.6,0.365,1.7,3.1,0.551,0.549,1.9,2.3,0.838,1.1,4.0,5.1,2.3,1.1,0.8,1.8,2.9,10.4
23,Tre Mann,0.0,6-3,178.0,"February 3, 2001",usUS,3,Florida,CHO,https://www.basketball-reference.com/players/m/mannttr01.html,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Damion Baugh(TW),0.0,6-4,194.0,"August 3, 2000",usUS,R,"Memphis,TCU",CHO,https://www.basketball-reference.com/players/b/baughda01.html,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Jusuf NurkiÄ,C,7-0,290.0,"August 23, 1994",baBA,10,,CHO,https://www.basketball-reference.com/players/n/nurkiju01.html,2024-25,30,CHO,NBA,8.0,4.0,18.8,2.9,6.5,0.442,0.3,2.3,0.111,2.6,4.3,0.618,0.462,1.5,2.5,0.6,2.4,6.1,8.5,3.8,1.1,1.0,1.6,2.1,7.5
12,Josh Okogie,SG,6-4,213.0,"September 1, 1998",ngNG,6,Georgia Tech,CHO,https://www.basketball-reference.com/players/o/okogijo01.html,2024-25,26,CHO,NBA,7.0,1.0,21.3,3.3,7.6,0.434,1.3,3.3,0.391,2.0,4.3,0.467,0.519,2.1,2.7,0.789,1.3,2.1,3.4,1.4,2.7,0.7,1.3,1.6,10.0
9,Wendell Moore Jr.(TW),0.0,6-5,213.0,"September 18, 2001",usUS,2,Duke,CHO,https://www.basketball-reference.com/players/j/jr.(twe01.html,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Malachi Flynn,PG,6-1,175.0,"May 10, 1998",usUS,4,"Washington State,San Diego State",CHO,https://www.basketball-reference.com/players/f/flynnma01.html,2024-25,26,CHO,NBA,3.0,0.0,9.7,1.3,2.7,0.5,0.3,0.3,1.0,1.0,2.3,0.429,0.563,0.7,1.0,0.667,0.7,1.0,1.7,1.0,0.3,0.0,1.0,1.0,3.7
14,Matas Buzelis,0.0,6-10,209.0,"October 13, 2004",usUS,R,,CHI,https://www.basketball-reference.com/players/b/buzelma01.html,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Julian Phillips,0.0,6-8,198.0,"November 5, 2003",usUS,1,Tennessee,CHI,https://www.basketball-reference.com/players/p/phillju01.html,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
